"weight";"word";"color";"url"
"3";"Games";"";""
"3";"Unity";"";""
"3";"VR/AR";"";""
"1";"Computer Vision";"";""
"2";"Mobile";"";""
"1";"XCode";"";""
"2";"Interaction";"";""
"1";"Social Computing";"";""
"1";"Autonomous Vehicles";"";""
"1";"Gazebo";"";""
"1";"NASA";"";""
"1";"Robotics";"";""
"1";"ROS";"";""
"2";"Simulation";"";""
"1";"Accessibility";"";""
"2";"Python";"";""
"1";"C++";"";""
"1";"Swift";"";""
"1";"OpenCV";"";""
"3";"C#";"";""
